top - 14:22:42 up  4:22,  1 user,  load average: 0.25, 0.55, 0.54
Threads: 1583 total,   1 running, 1578 sleeping,   4 stopped,   0 zombie
%Cpu(s):  1.3 us,  1.3 sy,  0.0 ni, 97.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7756.4 total,    264.6 free,   5050.0 used,   2441.8 buff/cache
MiB Swap:   8192.0 total,   6901.3 free,   1290.7 used.   1479.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    888 root      20   0   17684   2276   1132 S   0.0   0.0   0:00.22 wpa_sup+
    898 avahi     20   0    7440    180      0 S   0.0   0.0   0:00.00 avahi-d+
   1011 root      20   0  251116   2772   1844 S   0.0   0.0   0:02.57 upowerd
   1014 root      20   0  251116   2772   1844 S   0.0   0.0   0:00.00 gmain
   1015 root      20   0  251116   2772   1844 S   0.0   0.0   0:00.32 gdbus
   1017 root      20   0  243280   2544   1584 S   0.0   0.0   0:00.06 ModemMa+
   1039 root      20   0  243280   2544   1584 S   0.0   0.0   0:00.00 gmain
   1052 root      20   0  243280   2544   1584 S   0.0   0.0   0:00.00 gdbus
   1024 root      20   0   81660   3604   2220 S   0.0   0.0   0:00.01 cupsd
   1027 root      20   0  126788   6040   1796 S   0.0   0.1   0:00.05 unatten+
   1100 root      20   0  126788   6040   1796 S   0.0   0.1   0:00.00 gmain
   1108 root      20   0  249868   2776   2016 S   0.0   0.0   0:00.01 gdm3
   1110 root      20   0  249868   2776   2016 S   0.0   0.0   0:00.00 gmain
   1111 root      20   0  249868   2776   2016 S   0.0   0.0   0:00.02 gdbus
   1164 rtkit     21   1  154000    120      0 S   0.0   0.0   0:00.00 rtkit-d+
   1167 rtkit     20   0  154000    120      0 S   0.0   0.0   0:00.07 rtkit-d+
   1168 rtkit     rt   1  154000    120      0 S   0.0   0.0   0:00.08 rtkit-d+
   1231 root      20   0  172612   2432   1620 S   0.0   0.0   0:00.05 cups-br+
   1264 root      20   0  172612   2432   1620 S   0.0   0.0   0:00.00 gmain
   1265 root      20   0  172612   2432   1620 S   0.0   0.0   0:00.02 gdbus
   1245 kernoops  20   0   13080    128      0 S   0.0   0.0   0:00.00 kernelo+
   1247 kernoops  20   0   13080    432      0 S   0.0   0.0   0:00.01 kernelo+
   1518 root      20   0  381140  16904   1944 S   0.0   0.2   0:00.12 package+
   1599 root      20   0  381140  16904   1944 S   0.0   0.2   0:00.00 gmain
   1600 root      20   0  381140  16904   1944 S   0.0   0.2   0:00.05 gdbus
   1709 colord    20   0  253932   4568   1676 S   0.0   0.1   0:00.07 colord
   1724 colord    20   0  253932   4568   1676 S   0.0   0.1   0:00.00 gmain
   1726 colord    20   0  253932   4568   1676 S   0.0   0.1   0:00.00 gdbus
   1746 root      20   0  326832   5416   3608 S   0.0   0.1   0:00.05 gdm-ses+
   1747 root      20   0  326832   5416   3608 S   0.0   0.1   0:00.00 gmain
   1749 root      20   0  326832   5416   3608 S   0.0   0.1   0:00.01 gdbus
   1762 sahilch+  20   0   18100   6496   3700 S   0.0   0.1   0:01.43 systemd
   1763 sahilch+  20   0  170096   1856      0 S   0.0   0.0   0:00.00 (sd-pam)
   1769 sahilch+   9 -11   48504   2008    920 S   0.0   0.0   0:00.16 pipewire
   1811 sahilch+ -21   0   48504   2008    920 S   0.0   0.0   0:00.00 pipewire
   1770 sahilch+  20   0   32256   1688    692 S   0.0   0.0   0:00.14 pipewir+
   1810 sahilch+ -21   0   32256   1688    692 S   0.0   0.0   0:00.00 pipewir+
   1771 sahilch+   9 -11 2818944  15552   8408 S   0.0   0.2   0:00.38 pulseau+
   1845 sahilch+  20   0 2818944  15552   8408 S   0.0   0.2   0:00.00 snapd-g+
   1853 sahilch+  -6   0 2818944  15552   8408 S   0.0   0.2   0:00.54 alsa-si+
